ID,Polski Tytuł,Autor,ISBN,Cykl,Średnia ocena,Liczba ocen,Czytelnicy,Opinie,Ocena użytkownika,Link,Data przeczytania,Na półkach Głowne,Na półkach Pozostałe,Tytuł
5053076,Świat Burz,B.V. Larson,,Legion nieśmiertelnych (tom 10),"7,1",188,419,10,,https://lubimyczytac.pl/ksiazka/5053076/swiat-burz,,Przeczytane,Legion Nieśmiertelnych,test
5064307,Świat Pancerza,B.V. Larson,,Legion nieśmiertelnych (tom 11),"7,1",171,369,14,,https://lubimyczytac.pl/ksiazka/5064307/swiat-pancerza,,Przeczytane,Legion Nieśmiertelnych,test
5029467,Świat Ciemności,B.V. Larson,,Legion nieśmiertelnych (tom 9),"7,0",200,392,13,,https://lubimyczytac.pl/ksiazka/5029467/swiat-ciemnosci,,Przeczytane,Legion Nieśmiertelnych,test
5014046,Świat Krwi,B.V. Larson,,Legion nieśmiertelnych (tom 8),"6,9",220,426,15,,https://lubimyczytac.pl/ksiazka/5014046/swiat-krwi,,Przeczytane,Legion Nieśmiertelnych,test
4999910,Świat Buntowników,B.V. Larson,,Legion nieśmiertelnych (tom 7),"7,0",239,473,15,,https://lubimyczytac.pl/ksiazka/4999910/swiat-buntownikow,,Przeczytane,Legion Nieśmiertelnych,test
4985304,Świat ludzi,B.V. Larson,,Legion nieśmiertelnych (tom 6),"7,0",253,491,14,,https://lubimyczytac.pl/ksiazka/4985304/swiat-ludzi,,Przeczytane,Legion Nieśmiertelnych,test
4962259,Świat Maszyn,B.V. Larson,,Legion nieśmiertelnych (tom 4),"6,8",295,521,14,,https://lubimyczytac.pl/ksiazka/4962259/swiat-maszyn,,Przeczytane,Legion Nieśmiertelnych,test
4941337,Świat Postępu,B.V. Larson,,Legion nieśmiertelnych (tom 3),"6,7",323,575,21,,https://lubimyczytac.pl/ksiazka/4941337/swiat-postepu,,Przeczytane,Legion Nieśmiertelnych,test
4941336,Świat Pyłu,B.V. Larson,,Legion nieśmiertelnych (tom 2),"6,8",367,629,35,,https://lubimyczytac.pl/ksiazka/4941336/swiat-pylu,,Przeczytane,Legion Nieśmiertelnych,test
4997165,Świat stali,B.V. Larson,,Legion nieśmiertelnych (tom 1),"6,8",550,1073,79,,https://lubimyczytac.pl/ksiazka/4997165/swiat-stali,,Przeczytane,Legion Nieśmiertelnych,test
5060263,Dar anomalii. Księga 1,Paweł Zbroszczyk,,Dar anomalii (tom 1),"7,4",775,1469,291,,https://lubimyczytac.pl/ksiazka/5060263/dar-anomalii-ksiega-1,,Przeczytane,,test
5012783,Posłaniec,Krzysztof Barrek,,Upadek cesarstwa (tom 1),"7,2",212,384,45,7,https://lubimyczytac.pl/ksiazka/5012783/poslaniec,,Przeczytane,,test
4918579,Pierwotny,Małgorzata Lisińska,,Tropiciel (tom 3),"6,9",174,313,24,,https://lubimyczytac.pl/ksiazka/4918579/pierwotny,,Przeczytane,,test
4863627,Czarownica,Małgorzata Lisińska,,Tropiciel (tom 2),"7,1",272,446,41,,https://lubimyczytac.pl/ksiazka/4863627/czarownica,,Przeczytane,,test
4813063,Tropiciel,Małgorzata Lisińska,,Tropiciel (tom 1),"6,8",438,749,75,,https://lubimyczytac.pl/ksiazka/4813063/tropiciel,,Przeczytane,,test
5033814,Star Wars: Mistrz i uczeń,Claudia Gray,,,"7,3",265,455,40,8,https://lubimyczytac.pl/ksiazka/5033814/star-wars-mistrz-i-uczen,,Przeczytane,,test
4940009,Star Wars: Thrawn: Zdrada,Timothy Zahn,,Thrawn (tom 3),"7,5",189,400,23,,https://lubimyczytac.pl/ksiazka/4940009/star-wars-thrawn-zdrada,,Chcę przeczytać,,test
4915682,Star Wars: Thrawn: Sojusze,Timothy Zahn,,Thrawn (tom 2),"6,6",248,483,33,,https://lubimyczytac.pl/ksiazka/4915682/star-wars-thrawn-sojusze,,Chcę przeczytać,,test
4904667,Star Wars: Thrawn,Timothy Zahn,,Thrawn (tom 1),"7,9",302,654,39,,https://lubimyczytac.pl/ksiazka/4904667/star-wars-thrawn,,Chcę przeczytać,,test
4978560,Do gwiazd,Brandon Sanderson,,Skyward (tom 1),"8,0",1767,4019,267,,https://lubimyczytac.pl/ksiazka/4978560/do-gwiazd,,Chcę przeczytać,,test
5040519,Kapitularz Diuną,Frank Herbert,,Kroniki Diuny (tom 6),"7,1",1943,5021,116,,https://lubimyczytac.pl/ksiazka/5040519/kapitularz-diuna,,Przeczytane,Kroniki Diuny,test
5040518,Heretycy Diuny,Frank Herbert,,Kroniki Diuny (tom 5),"7,3",2601,6082,141,,https://lubimyczytac.pl/ksiazka/5040518/heretycy-diuny,,Przeczytane,Kroniki Diuny,test
5114517,Bóg Imperator Diuny,Frank Herbert,,Kroniki Diuny (tom 4),"7,3",4323,8834,271,,https://lubimyczytac.pl/ksiazka/5114517/bog-imperator-diuny,,Przeczytane,Kroniki Diuny,test
5040514,Dzieci Diuny,Frank Herbert,,Kroniki Diuny (tom 3),"7,4",1484,2769,96,,https://lubimyczytac.pl/ksiazka/5040514/dzieci-diuny,,Przeczytane,Kroniki Diuny,test
8601,Mesjasz Diuny,Frank Herbert,,Kroniki Diuny (tom 2),"7,3",5943,9886,380,,https://lubimyczytac.pl/ksiazka/8601/mesjasz-diuny,,Przeczytane,Kroniki Diuny,test
4942534,Diuna,Frank Herbert,,Kroniki Diuny (tom 1),"8,2",21324,43603,1855,10,https://lubimyczytac.pl/ksiazka/4942534/diuna,,Przeczytane,Kroniki Diuny,test
4811730,Wiedźmin. Szpony i kły,"Andrzej W. Sawicki, Przemysław Gul",,Wiedźmin Geralt z Rivii (tom 8),"6,8",3218,8016,381,,https://lubimyczytac.pl/ksiazka/4811730/wiedzmin-szpony-i-kly,,Chcę przeczytać,,test
199630,Sezon burz,Andrzej Sapkowski,,Wiedźmin Geralt z Rivii (tom 0.2),"7,4",22684,39118,1838,,https://lubimyczytac.pl/ksiazka/199630/sezon-burz,,Przeczytane,Wiedźmin,test
240527,Pani Jeziora,Andrzej Sapkowski,,Wiedźmin Geralt z Rivii (tom 7),"8,2",32630,53032,1148,,https://lubimyczytac.pl/ksiazka/240527/pani-jeziora,,Przeczytane,Wiedźmin,test
240525,Wieża Jaskółki,Andrzej Sapkowski,,Wiedźmin Geralt z Rivii (tom 6),"8,3",33370,53416,922,,https://lubimyczytac.pl/ksiazka/240525/wieza-jaskolki,,Przeczytane,Wiedźmin,test
240524,Chrzest ognia,Andrzej Sapkowski,,Wiedźmin Geralt z Rivii (tom 5),"8,4",37743,58567,1106,,https://lubimyczytac.pl/ksiazka/240524/chrzest-ognia,,Przeczytane,Wiedźmin,test
240513,Czas pogardy,Andrzej Sapkowski,,Wiedźmin Geralt z Rivii (tom 4),"8,3",40395,61886,1156,,https://lubimyczytac.pl/ksiazka/240513/czas-pogardy,,Przeczytane,Wiedźmin,test
240512,Krew elfów,Andrzej Sapkowski,,Wiedźmin Geralt z Rivii (tom 3),"8,2",45246,69076,1607,,https://lubimyczytac.pl/ksiazka/240512/krew-elfow,,Przeczytane,Wiedźmin,test
240312,Miecz przeznaczenia,Andrzej Sapkowski,,Wiedźmin Geralt z Rivii (tom 2),"8,4",42010,63084,1509,,https://lubimyczytac.pl/ksiazka/240312/miecz-przeznaczenia,,Przeczytane,Wiedźmin,test
240310,Ostatnie życzenie,Andrzej Sapkowski,,Wiedźmin Geralt z Rivii (tom 1),"8,4",53246,80627,2687,,https://lubimyczytac.pl/ksiazka/240310/ostatnie-zyczenie,,Przeczytane,"Posiadam, Wiedźmin",test
301206,Taniec ze smokami. Część 2,George R.R. Martin,,Pieśń Lodu i Ognia (tom 5.2),"8,2",16038,29415,566,,https://lubimyczytac.pl/ksiazka/301206/taniec-ze-smokami-czesc-2,,Przeczytane,Pieśń Lodu i Ognia,test
